WMT,AMZN,AAPL,CVS,UNH,XOM,BRK.B,GOOGL,MCK,ABC
129.75,122.28,157.35,95.53,541.49,92.64,293.9,114.22,340.12,145.57
132.05,134.95,162.51,95.68,542.34,96.93,300.6,116.32,341.58,145.93
132.54,135.39,161.51,96.02,535.38,94.48,295.86,114.86,342.42,145.93
132.68,134.16,160.01,95.37,535.46,94.07,292.17,115.13,335.09,142.81
130.5,139.52,166.13,101.38,540.65,91.02,294.96,118.08,327.1,139
125.57,142.57,165.81,101.87,533.75,87.19,292.91,118.19,337.81,139.27
126.58,140.8,165.35,102.26,535.06,88.45,292.07,117.47,346.69,141.31
127.61,139.41,164.87,102,536.6,88.95,292.34,117.3,347.38,140.62
128.87,137.83,164.92,103.69,537.26,90.59,292.77,116.63,354.77,144.72
129.14,142.69,169.24,104.05,537.72,91.45,295.11,119.7,359.61,145.58
129.82,140.64,168.49,104.25,532.86,93.19,296.47,118.84,358.76,148.22
132.22,143.55,172.1,106.39,543.7,94,301.55,121.68,365.2,150.5
132.6,143.18,173.19,106.27,544.64,92.32,302.82,122.08,371.45,150.82
139.37,144.78,173.03,106.43,546.12,91.46,306.65,121.7,373.84,152.66
139.52,142.1,174.55,104.92,545,92.2,304.26,119.55,367.37,149.53
139.07,142.3,174.15,103.64,545.22,94.38,304.27,120.17,368.56,149.91
137.02,138.23,171.52,104.05,548.32,94.08,297.28,117.21,371.01,152.03
134.57,133.22,167.57,102.34,544.57,94.01,288.69,114.24,368.12,148.99
134,133.62,167.23,101.13,535.8,98,289.65,113.86,364.02,148.02
134.97,133.8,167.53,101.28,536.46,98.58,293.52,113.69,363.22,148.23
135.87,137.28,170.03,102.15,541.57,99.09,298.13,116.65,366.89,150.42
131.6,130.75,163.62,100.06,529.25,97.87,289.96,110.34,356.79,146.19
132.88,129.79,161.38,100.33,529.77,100.12,287.45,109.42,363.02,147.49
132.48,128.73,158.91,98.8,522.84,96.31,285.42,108.94,364.01,145.43
132.55,126.77,157.22,98.15,519.33,95.59,280.8,108.22,367,146.56
134.48,127.82,157.96,99.93,524,93.87,282.43,109.74,363.83,147.61
133,127.51,155.81,99.44,516.35,95.59,277.67,107.85,363.82,147.71
132.34,126.11,154.53,98.73,517.68,94.95,276.59,106.81,360.8,146.02
135.74,129.48,155.96,100.68,521.68,94.14,281.04,109.45,366.96,147.84
136.43,129.82,154.46,102.26,527.51,94.91,283.34,108.38,370.16,147.54
136.84,133.27,157.37,102.15,524.34,96.5,285.77,110.65,366.21,147.27
138.07,136.45,163.43,103.04,531.25,97.61,288.51,110.86,363.73,147.71
135.22,126.82,153.84,100.45,513.96,95.33,278.29,104.32,347.89,140.98
134.92,128.55,155.31,101.05,509.77,97.67,278.42,105,341.4,140.11
133.47,126.28,152.37,102.31,522.91,94.83,276.7,102.91,341.02,139.81
133.19,123.53,150.7,102.06,521.02,93.21,274.81,102.8,346.25,140.55
134.33,124.66,154.48,102.11,523.55,93.2,278.95,103.07,348.95,140.37
133.55,122.19,156.9,101.34,522.8,92.44,277.13,101.14,345.56,138.9
134.77,118.54,153.72,99.77,512.08,90.95,270.74,99.28,345.47,139.12
133.39,117.31,152.74,99.83,517.46,90.57,268.51,100.14,346.96,140.01
130.06,113.78,150.43,98.35,513.61,85.75,267.77,98.74,343.27,137.2
131.31,115.15,150.77,97.74,508.36,83.98,264.32,98.17,342.88,136.35
130.95,114.41,151.76,97.21,508.37,85.74,265.47,97.5,341.47,135.44
133.11,118.01,149.84,98.16,513.94,88.86,271.78,100.05,348.94,138.41
132.25,114.8,142.48,96.98,508.83,88.68,269.58,97.42,342,136.07
129.7,113,138.2,95.37,505.04,87.31,267.02,95.65,339.87,135.33
132.53,115.88,142.45,97.76,515.51,91.92,272.8,98.64,346.74,139.31
134.25,121.09,146.1,100.52,523.17,95.27,280.49,101.64,355.36,142.73
132.92,120.95,146.4,100.45,527.07,99.12,279.36,101.43,354.37,142.45
131.68,120.3,145.43,98.58,519.13,102.06,276.31,101.42,350.89,139.91
128.56,114.56,140.09,88.25,504.85,101.03,269.04,98.68,346.68,137.35
129.32,113.67,140.42,88.25,498.86,98.84,266.93,97.86,347.32,137.62
132.67,112.21,138.98,88.5,499.81,98,267.31,97.18,351.55,141.71
131.17,112.9,138.34,87.84,499.96,98.43,264,97.56,345.39,138.94
132.28,112.53,142.99,90.1,509.91,101.87,275.78,99.06,354.47,142.05
130.43,106.9,138.38,89.3,513.13,99.19,272.67,96.56,352.65,140.6
131.37,113.79,142.41,90.89,521.88,100.62,277.02,99.97,354.49,142.38
134.14,116.36,143.75,91.94,522.21,100.8,281.67,100.77,360.88,143.99
133.76,115.07,143.86,91.66,520.32,103.79,278.34,99.63,360.66,142.99
134.09,115.25,143.39,90.99,520.88,103.93,273.53,99.97,359.19,142.77
136.8,119.32,147.27,92.72,533.73,105.86,282.51,101.13,370.64,147.73
139.41,119.82,149.45,94.8,541.6,106.6,287.48,102.52,379.11,150.1
